com_code,course_code,course_name,instructors
1001,"BIO F110","BIOLOGY LABORATORY","TRINATH JAMMA, Sharayu Umakant Ghodeswar, Naga Mohan K, S K Venkata Manjari, Kotwal Shifa Bushra, Bharwani Harsha, Shraddha Tripathi, Raunak Sharma, Sushma S Kumar, Ali Akbar Shoukat Safdari, Syeda Sabiha Sultana Lubna, Nikhil P T"
1002,"BIO F111","GENERAL BIOLOGY","Piyush Khandelia, Kirtimaan Syal, VIVEK SHARMA, Vidya Rajesh, V Ramakrishna, P Sankar Ganesh, Sridev Mohapatra, Gireesha T Mohannath, Jayati Ray Dutta"
1112,"BIO F211","BIOLOGICAL CHEMISTRY","DEBASHREE B, Devarakonda Himaja"
1114,"BIO F212","MICROBIOLOGY","RUCHI JAIN DEY, Nidhi O, Monica, Priyanka Chakravarti"
1113,"BIO F213","CELL BIOLOGY","K  PRANAV NARAYAN, Dwaipayan Bhattacharya"
1115,"BIO F214","INTEGRATED BIOLOGY","KIRTIMAAN SYAL, Neethu R S"
1941,"BIO F216","WATER SANITATION AND SOLID WASTE MANAGEMENT","K  PRANAV NARAYAN"
2264,"BIO F217","LAB FOR WATER SANITATION & SOLID WASTE MANAGEMENT","P SANKAR GANESH, Anand N, Shivashis Mund"
1651,"BIO F266","STUDY PROJECT","K  PRANAV NARAYAN"
1427,"BIO F311","RECOMBINANT DNA TECH","VIDYA RAJESH, Sumana Choudhury"
1428,"BIO F312","PLANT PHYSIOLOGY","SRIDEV MOHAPATRA, Raja Gopalan N S"
1429,"BIO F313","ANIMAL PHYSIOLOGY","NAGA MOHAN K, Anne Lohitha Alias Anuhya"
1650,"BIO F366","LABORATORY PROJECT","K  PRANAV NARAYAN"
1736,"BIO F367","LABORATORY PROJECT","K  PRANAV NARAYAN"
1685,"BIO F376","DESIGN PROJECT","K  PRANAV NARAYAN"
1752,"BIO F377","DESIGN PROJECT","K  PRANAV NARAYAN"
1434,"BIO F418","GENETIC ENGINEERING TECH","NISHITH GUPTA, Murali Krishna Ramgopal, Naresh Patnaik, Peddiraju N V S J Swaroop, Rolly Kumari"
71,"BIO G512","MOLEC MECH OF GENE EXPRE","GIREESHA T MOHANNATH, Gargi Prasad S, Namita Pandey, Neha Priyadarshini"
388,"BIO G513","MICROBIAL FERMENT TECHNO","JAYATI RAY DUTTA, Pranay Amruth Maroju, Mude Hemanjali, Sakhare Kalyani Rajesh"
392,"BIO G514","MOLECULAR IMMUNOLOGY","TRINATH JAMMA, Nikhil P T, K.Vaishali, Lakesh Kumar Sahoo"
2008,"BIO G524","ANIMAL CELL TECHNOLOGY","PIYUSH KHANDELIA, Dhansri Krishnamurthy, Jayasree P J, Tata Pranathi"
