com_code,course_code,course_name,instructors,hits
2420, "AN F311", "PRINCIPLES OF AERODYNAMICS", "PARDHA SARADHI GURUG",0
1112, "BIO F211", "BIOLOGICAL CHEMISTRY", "V RAMAKRISHNA,Debashree B,I Shivkumar",0
1114, "BIO F212", "MICROBIOLOGY", "RUCHI JAIN DEY,Vidya Rajesh,Ruchi Jain Dey,Vidya Rajesh,Ruchi Jain Dey,Kotwal Shifa Bushra,Monica",0
1113, "BIO F213", "CELL BIOLOGY", "K  PRANAV NARAYAN,Dwaipayan Bhattacharya",0
1115, "BIO F214", "INTEGRATED BIOLOGY", "KIRTIMAAN SYAL,Tata Pranathi",0
1941, "BIO F216", "WATER SANITATION AND SOLIDWASTE MANAGEMENT", "P SANKAR GANESH",0
1651, "BIO F266", "STUDY PROJECT", "SUPRATIM GHOSH",0
1427, "BIO F311", "RECOMBINANT DNA TECH", "SHUVADEEP MAITY,Murali Krishna Ramgopal",0
1428, "BIO F312", "PLANT PHYSIOLOGY", "SRIDEV MOHAPATRA,Gireesha T Mohannath,Raja Gopalan N S",0
1429, "BIO F313", "ANIMAL PHYSIOLOGY", "PRAGYA KOMAL,S K Venkata Manjari",0
2287, "BIO F315", APPLIED  NUTRITION &NUTRACEUTICALS,RUCHI JAIN DEY,0
1650, "BIO F366", "LABORATORY PROJECT", "SUPRATIM GHOSH",0
1736, "BIO F367", "LABORATORY PROJECT", "SUPRATIM GHOSH",0
1685, "BIO F376", "DESIGN PROJECT", "SUPRATIM GHOSH",0
1752, "BIO F377", "DESIGN PROJECT", "SUPRATIM GHOSH",0
1438, "BIO F451", "BIOPROCESS TECHNOLOGY", "SUPRATIM GHOSH",0
71, "BIO G512", "MOLEC MECH OF GENE EXPRE", "NAGA MOHAN K,Naga Mohan K,Anne Lohitha Alias Anuhya,Sushma S Kumar",0
388, "BIO G513", "MICROBIAL FERMENT TECHNO", "JAYATI RAY DUTTA,Jayati Ray Dutta,Abirami T S,Mude Hemanjali",0
111, "BIO G515", "STEM CELL AND REGENERATIVEBIOLOGY", "VIVEK SHARMA,Sumana Choudhury,Swati,Vivek Sharma",0
