com_code,course_code,course_name,instructors,hits
1001,"BIO F110","BIOLOGY LABORATORY","TRINATH JAMMA, Sharayu Umakant Ghodeswar, Naga Mohan K, S K Venkata Manjari, Kotwal Shifa Bushra, Bharwani Harsha, Shraddha Tripathi, Raunak Sharma, Sushma S Kumar, Ali Akbar Shoukat Safdari, Syeda Sabiha Sultana Lubna, Nikhil P T",0
1002,"BIO F111","GENERAL BIOLOGY","Piyush Khandelia, Kirtimaan Syal, VIVEK SHARMA, Vidya Rajesh, V Ramakrishna, P Sankar Ganesh, Sridev Mohapatra, Gireesha T Mohannath, Jayati Ray Dutta",0
1112,"BIO F211","BIOLOGICAL CHEMISTRY","DEBASHREE B, Devarakonda Himaja",0
1114,"BIO F212","MICROBIOLOGY","RUCHI JAIN DEY, Nidhi O, Monica, Priyanka Chakravarti",0
1113,"BIO F213","CELL BIOLOGY","K  PRANAV NARAYAN, Dwaipayan Bhattacharya",0
1115,"BIO F214","INTEGRATED BIOLOGY","KIRTIMAAN SYAL, Neethu R S",0
1941,"BIO F216","WATER SANITATION AND SOLID WASTE MANAGEMENT","K  PRANAV NARAYAN",0
2264,"BIO F217","LAB FOR WATER SANITATION & SOLID WASTE MANAGEMENT","P SANKAR GANESH, Anand N, Shivashis Mund",0
1651,"BIO F266","STUDY PROJECT","K  PRANAV NARAYAN",0
1427,"BIO F311","RECOMBINANT DNA TECH","VIDYA RAJESH, Sumana Choudhury",0
1428,"BIO F312","PLANT PHYSIOLOGY","SRIDEV MOHAPATRA, Raja Gopalan N S",0
1429,"BIO F313","ANIMAL PHYSIOLOGY","NAGA MOHAN K, Anne Lohitha Alias Anuhya",0
1650,"BIO F366","LABORATORY PROJECT","K  PRANAV NARAYAN",0
1736,"BIO F367","LABORATORY PROJECT","K  PRANAV NARAYAN",0
1685,"BIO F376","DESIGN PROJECT","K  PRANAV NARAYAN",0
1752,"BIO F377","DESIGN PROJECT","K  PRANAV NARAYAN",0
1434,"BIO F418","GENETIC ENGINEERING TECH","NISHITH GUPTA, Murali Krishna Ramgopal, Naresh Patnaik, Peddiraju N V S J Swaroop, Rolly Kumari",0
71,"BIO G512","MOLEC MECH OF GENE EXPRE","GIREESHA T MOHANNATH, Gargi Prasad S, Namita Pandey, Neha Priyadarshini",0
388,"BIO G513","MICROBIAL FERMENT TECHNO","JAYATI RAY DUTTA, Pranay Amruth Maroju, Mude Hemanjali, Sakhare Kalyani Rajesh",0
392,"BIO G514","MOLECULAR IMMUNOLOGY","TRINATH JAMMA, Nikhil P T, K.Vaishali, Lakesh Kumar Sahoo",0
2008,"BIO G524","ANIMAL CELL TECHNOLOGY","PIYUSH KHANDELIA, Dhansri Krishnamurthy, Jayasree P J, Tata Pranathi",0
2007,"BIO G525","ENVIR BIOTECH & WASTE MGMT","P SANKAR GANESH, Aishwarya Natarajan, Minali Singh, Vartika Singh",0
192,"BIO G526","CANCER BIOLOGY","VIVEK SHARMA, Bakhya Shree Gb, Mohammad Mehaboob Subhani Mustafa",0
