com_code,course_code,course_name,instructors,hits
1423,"BIO F215","BIOPHYSICS","DEBASHREE B,Syeda Sabiha Sultana Lubna",0
1424,"BIO F241","ECOLOGY & ENVIRONMENTAL SCIENCE","P SANKAR GANESH,Anand N",0
1430,"BIO F242","INTRODUCTION TO BIOINFORMATICS","SHUVADEEP MAITY,K.Vaishali",0
1425,"BIO F243","GENETICS","NAGA MOHAN K,Anne Lohitha Alias Anuhya",0
1426,"BIO F244","INSTRU METHODS OF ANAL","V Ramakrishna,K  PRANAV NARAYAN,Aishwarya Natarajan,Ali Akbar Shoukat Safdari,Devarakonda Himaja,Monica,Raunak Sharma,Sharayu Umakant Ghodesw,V Ramakrishna,Vidya Rajesh",0
1651,"BIO F266","STUDY PROJECT","P SANKAR GANESH",0
1431,"BIO F341","DEVELOPMENTAL BIOLOGY","VIVEK SHARMA,K  Pranav Narayan,Shraddha Tripathi",0
1432,"BIO F342","IMMUNOLOGY","VIDYA RAJESH,Sushma S Kumar",0
1650,"BIO F366","LABORATORY PROJECT","P SANKAR GANESH",0
1736,"BIO F367","LABORATORY PROJECT","P SANKAR GANESH",0
1685,"BIO F376","DESIGN PROJECT","DEBASHREE B",0
1752,"BIO F377","DESIGN PROJECT","DEBASHREE B",0
1436,"BIO F421","ENZYMOLOGY","TRINATH JAMMA,Jayati Ray Dutta",0
1438,"BIO F451","BIOPROCESS TECHNOLOGY","KIRTIMAAN SYAL",0
2009,"BIO G523","ADV & APPLIED MICROBIO","JAYATI RAY DUTTA,Ruchi Jain Dey,Naresh Patnaik,Pranay Amruth Maroju,Sakhare Kalyani Rajesh",0
2015,"BIO G532","BIOSTATISTICS AND BIOMODELLING","V RAMAKRISHNA,Sridev Mohapatra,I Shivkumar,Nikhil P T,Vartika Singh",0
